No,reviewers_name,reviews_rating,reviews_title,reviews_text
61,CitizenCairParavel,6,Very good ending BUT . . .,"The first 2 hours of the movie were pretty boring. Great last hour but, boy, was I ready to get to the final hour. Did love last scene with Cap America. Won't say anything more. CA:WS and first Avengers were my faves. This ranks probably #3 or #4 of the Marvel movies. Plus sweet cameo by Stan Lee. Would have been funnier if he had not died recently. Bitter sweet."
62,kelboy10,6,End with no game,"Pretty sure Robert Downey Jr got his lines wrong. What he clearly meant to say is back to the future is clearly a way better depiction of time travel. Long gone are the days where movies had real emotional empathy and believability, they must have got washed up in the shores of time. Great Scott, if only we could go back to when these film had tangible sets and characters with substance and weight. This movie begins where infinity war left off with half the population doing a disappearing act, involuntarily of course. Our main protagonist Iron Man is lost in space and somehow found out of nowhere with very little reason. The new kid on the block has a talent for picking out people from space with, with her arms, or so it would appear. Eat your heart out superman!! Yet we are willing to let most this go, the task of expanding the universe further seems exhausting enough. With a barrel load of character to tackle not even three hours can save this mess. Maybe because they have to stick to their Hollywood Marvel formula and get the routine thirty minute, am I watching a kid play Mortal Kombat? Battle scene in!! The only thing missing is the vintage finish him voice at the finale. Reminence of the battle scene in ""ready player one"" springs to mind. Don't misinterpret me I don't mind a well built up epic conclusion but unfortunate this felt like a reversal of what had already materialised in the previous outting. As far as character and acting goes our main bunch handled themselves to the usual standard. We had nice chemistry wisecracks and charisma throughout the film and with regards to pacing it's a little slow to start off with. It's a good thirty to forty five of we're getting the band back together!! Without giving too much away it is a very linear one dimension story but still packs a bit of a punch with some humour and emotion from time to time. With regards to empathy I felt more for the characters towards the end than in the early stages. I felt like they failed at the start where you should feel really sad for the friends they lost but they all seemed to have moved on five years on. Scarlett Johansson's character was the only one who made me feel like it had actually happened. Overall it was an average finish, nothing to go to mad about."
63,thetyvonlesure,6,3 Hours Too Long,"This film is no Masterpiece. The Russo Brothers phoned in for a relevant follow-up to Infinity War. The first two hours were incredibly dull and boring. This film was filled to the brim with Fan Service and not enough Original Story. The final hour was amazing and worth the price of admission. The movie could've been condensed and it could've gotten to the point sooner. The humor feels forced and lazy. The film was filled with jump cuts and reused camera shots from previous films. The CGI is well done. The acting is poor at points. Overall, this is an average film, with two-thirds of it falling under below average."
64,willcline-91043,6,Could've been better,Okay I'm waited a long time to watch the movie and I've got to say I'm pretty disappointed first they made two of the biggest stars into jokes thor is a fat sloppy drunk and hulk is a big green Sissy I don't even think Hulk threw a punch everyone wanted to see all the heroes come back and they did but they lost one of the greats at the end could have been so much better
65,jack_pearson,6,Great end to a saga,"This was eye candy and fan service at its finest but then again, that's what the general audience wants"
66,type-a1pha,6,Colourful entertainment with an expected storyline.,"A fairly entertaining hero movie that, even with its long running time, doesn't really feel tiring. It begins interestingly and in pure Avengers style it becomes more and more chaotic as time progresses. This is a consequence of the too many storylines that need to be merged and the too many characters that are to be followed. Tonal shifts are omnipresent and a few characters are thrown out of context for the sake of unnecessary comic relief. With the story progressing, typical cliches of ending stories become apparent and unexplained convenient turn of events start to happen. This is nothing new and, as in the previous movies, sometimes it's just impossible to make sense of how and why a situation occurs. You have to accept it for the sake of the storyline be it someone suddenly becoming overpowered, acquiring a new power or conveniently stumbling upon a revelation. In the end, an unimpressive and quite predictable storyline spiced with great effects, a good soundtrack and a few interesting characters."
67,jpolywog-52354,6,Not up to the hype!,Overlong and cheesy in the extreme. As a massive Avengers fan I was disappointed in the film. Who on earth decided to portray Thor as an overweight bloated drunkard?..That person should be hit with Thor's hammer. In a way I am glad that it has come to an end. It had become a money making machine at the expense of high octane adventure. Yes I will miss it but maybe not as much as I should!!!
68,siderite,8,A nice looking solution for an imperfect situation,"Imagine you have to write Endgame. You would have to find a way to reconcile several things: the expectations of the audience, the continuity not only with the other movies, but with future projects and past comic book ideas, the actors that just won't come back whatever the reason, America's unhealthy obsession with political correctness, the wishes of the producers, the wishes of the director, the wishes of the people paying for the movie. It is an nearly impossible task. As a solution to this conundrum, Avengers: Endgame was really decent. It has character build up, exposition - maybe too much of it, foreshadowing, great action scenes, great emotional scenes, great acting. It got rid of all the leaving actors in a very nice way for their characters. It solved the problem of the death of so many living creatures in a way that didn't mean everything was simply undone or redone or forgotten.

That being said, all the characters in this film are dumb. I mean, really dumb. They have lightning fast reactions, but their solutions are ridiculous. The whole concept of the solution, which I don't want to spoil, lends itself to improvement.; it was not spent in this story. Also, there is a key moment that ends (heh) it all... it could have been done minutes before. All the elements where already there. And there are so many logic holes in the plot that my mind just reels from thinking about it.

Bottom line: a very beautiful film for your heart. Doesn't do your brain any good."
69,blanche-2,8,action-packed and effects galore,"Watching the coming attractions was depressing. No wonder kids are half brain-dead today. My only interest in anything Avengers is Benedict Cumberbatch. I thought this was a fun film, loved all the cameos and the actors are all very likable. Special effects were amazing, but for about a half hour there I felt like I was watching a video game."
70,cherold,8,entertaining and at times exhausting,"This story-arc wrap-up starts with half the Avengers and world in general dead and no way to fix it. Only of course they figure out a way, because that was telegraphed in the last movie, and some of that goes right and some horribly wrong leading to, yet again, a massive battle.

The movie is generally speaking as entertaining as the last one, although it's attempt to use it's time-travel conceit to include every single character from every cinematic marvel universe movie ever made can be wearying, with characters I don't quite remember, characters appearing too briefly to make an impact, and a tremendous number of non-speaking cameos that serve no purpose except to let the audience say, ""oh yeah, them.""

The first half is pretty zippy, with lots of banter and some flat-out slapstick. But the movie also wants to delve into the self-sacrifice theme, so the movie drifts into increasing levels of sorrow.

The movie ends, obviously, with a vast battle, and while it's quite good, with some serious ""wow"" moments, it is the smaller, character-driven moments that truly stand out, like two superheroes battling each other to be the one to self-sacrifice. And while the post-battle weep-fest seems a bit long, the film does end with a particularly satisfying resolution to one superhero's arc.

Endgame gives you the solid, expected Avengers experience. Comedic, dramatic, special-effects driven, and overlong. It's well worth seeing even though ultimately it's nothing you haven't seen before."
71,westsideschl,8,Poor Science but Who Cares,"The better the ratings on a sci-fi movie the worse the science, but who cares if we're being fed thus absorb ""fake"" information. More combustion powered & structurally dumb space vehicles making sounds in the vacuum of space & swooshing sounds in air. Well, looks cool as do all the super powers that seem to get crazier w/each new series release. Why are little things like glassy rocks so empowered in sci-fi/fantasy movies? Usual dumbed down dialogue except the three worded line by one famous (and the movie is loaded w/famous) actor (bet you can't guess who). Started slow, but got hot 'n' heavy towards the end."
72,tabuno,8,The Marvel Universe is Much Too Big for Two Movies,"More is not always better and a lot more is definitely mind-bogglingly hard to wrap one's senses around. After a slow build that effuses with emotional and relational devastation the movie thae turns towards a building resolution with multiple scenes of bravery and sometimes sacrifice. With so many super characters and subplots, its pretty difficult to really absorb the more intimate prolonged exposure that most dramatic movies offer. There are numerous attempts of pushing the audience's emotional buttons that abound in this superhero finale and in that effort there are a number of typical and well-execute ploys by scriptwriters to milk the scenes for all their worth. This grab bag of personas and dramatic and comedic turmoil all come together in a pretty full package that at times bulges at the seams. This is a movie that tries really hard to encompass the full panoply of the Marvel Universe which is likely too big for just one or perhaps two full length films to capture comprehensively or adequately. But nice, if impossible try."
73,briancham1994,8,Great Finale,"This film is a great finale to the Marvel Cinematic Universe and it wraps up all of their prior threads. There are references to years and years of films but it all feels like it comes together very naturally. The use of time travel was pretty well handled and didn't get as messy as in other films. The story itself and the twists were very engaging. One of my main concerns is Captain Marvel, who is so powerful that the writers have to contrive excuses for her to be elsewhere. Otherwise she could just solve most of the problems at once."
74,jfgibson73,8,Endgame,"My biggest problem with this movie is that it focuses so much on Thor, Iron Man, and Captain America. I liked the way Infinity War juggled so many characters, giving them all great moments. The final battle is great, though."
75,alansabljakovic-39044,8,Emotional and very heartwarming film,This movie is very emotional and funny at the same time. We can see how much the characters have developed from the start of the MCU. I'm little dissapointed with the lack of fighting scenes and with the ending. I can say what scenes will make great memes. Thank you Marvel for this great period in my life and for all the great movies u created. Keep going on. P.s. Thanos in that garden reminded me of Shrek.
76,MR_Heraclius,8,Endgame,"There isn't too much in the way of suspense or surprises when it comes to the story, but there are some shocking moments and funny lines in this epic finale. Again, like many of the best Marvel films, the holes and flaws are covered up with humor and fan service, making everything okay. That being said, I did prefer Infinity War to this film, which really misses the leads of the other Marvel franchises that were ""snapped"" out. Overall, however, there are only a few ways you can wrap up the main story of the MCU, and this was a solid direction."
77,MadamWarden,8,Crammed fun that can't be avoided,"Honestly, I think there are too many Heroes for one movie so Thanos definitely helped us out. That said, the writers do exceptionally well to weave all the back stories, relationships, characters and emotional hee-haw together in one crazy 3 hour rollercoaster ride of CG action, emotion and gags.

Great fun but I yearn for the simpler single hero movies of yore, even though I still think the first Avengers movie was the Greatest!!!

That said, this will break every box office record as it is a MUST SEE!!!"
78,kevin c,8,Fitting finale,"Movie night with Iris.

The Avengers franchise comes to both a rich and mostly satisfying conclusion. This is complex and emotional stuff, but doesn't take itself too seriously.

Despite the running time the action felt paired back, and the intimate scenes given equal billing.

The basic plot is pretty clunky, but the Back to the Future gags acknowledge that. The feminist apologies even clunkier, and too late. However the film delivers spectacle, gags and an intelligent, emotional kick."
79,acedj,8,I honestly wanted to like this more,"There will be a lot of people gushing on here about this movie. Make no mistake, it was good, just not great. 21 films leading up to this point have built the tension, and what should have been a sonic boom was closer to a car backfiring. At three hours, this is a long movie. While there are moments of great humor and great sadness and great happiness, it also dragged in spots. One would expect it to be 95% action, but they spent a lot of time on fluff. Again, do not misunderstand me. I liked this movie quite a bit, but I wanted to love it, and sadly I didn't."
80,DLochner,8,An experiment that last forever,"Part four of this gigantic Avengers saga cannot really be evaluated alone. It is directly related to part three. You can put them together like two pieces of a puzzle. In my opinion, both together are much better than parts 1 and 2.

I'm excited. From the end of Part 3 at the latest, I was completely in the Avengers Universe. The action, the drama. Everything at a very high level, despite the many characters and superheroes. But the special thing about the Avengers is that directors Anthony Russo and Joe Russo are not afraid to break taboos. In part four it is tough and it rarely gets cheesy or boring. Despite the very long three-hour runtime. In addition to all the superhero films, some of which dissolve into insignificance, Avengers looks like a little masterpiece."
81,zzhhhqing,8,"Thank You, Avengers","I am a post-90s generation, and I used to envy the ""previous generation"": audiences 40 years ago, the end of the Star Wars trilogy in their theaters; 20 years ago, audiences can see the ring in the theater The final chapter of the King series. The joys and sorrows of movie fans are not connected, but now we also have a common memory: Marvel Movie Universe. Thank you, Avengers."
82,Trevor-Kerensky,8,The final chapter (or is it?),"Without revealing too much, I enjoyed the movie. Yes, three hours sounds like a lot, but I managed to do it without pausing for a bathroom break. Now that I think about it, this is the last time I'll sit through a three-hour movie. But enough about that.

The movie grabs you and won't let go until the end. The three hours pass pretty quickly and even though Stan Lee is no longer with us, I'm sure he got a proper send-off. I just don't remember where. But I'm glad he was a part of the MCU movie saga. All of the Avengers do battle with a powerful enemy. Who will survive? Who will not? All that will be revealed when you watch the movie. If you've been following the MCU closely, this will be the major climax."
83,asb_deutsch,8,Everyone Will Love It,"I watched Endgame in IMAX with Laser and it was nice. This resulted in bright images, especially the oceans, projected by dual projectors on the giant 42 feet high, 65 feet wide screen of IMAX, completely using the whole screen with a little of chopping the picture. The images are larger than life, but they don't confuse the eye or strain the vision of the audience. Along with 12000 Watts IMAX proprietary sound system that was used very well for the sound editing!

It may have taken 11 years, 21 films but Endgame finally has shown redemption and smart direction from Joe Russo and Anthony Russo

I want more!"
84,CountJonnie,8,"Perfect as a farewell, but slightly flawed as an action film","End Game is pretty hyped as one of the best movies. And it is a great movie. The directors succeeded in connecting bits and pieces from the past and the present. While making all actors shine and draw the viewer in a hurricane of emotions. But as a result, the movies pacing feels messy, slow, repetitive and fragmented.

That doesn't hurt the movie, because it's greatest strength is in the actors, mainly Tony Stark who has the superpower to carry this movie by himself. Further there is the fanservice to include almost every relevant star from the past many movies. Unfortunately, I was hoping for a high octane action movie with compelling fights. Those fights where there, but they were quick, messy, chaotic.

This movie's biggest sin is absolutely not that it is a bad movie. It's good, but not as good as Infinity War, and that's a shame. All flaws aside, End Game is an emotional roller coaster, that works as a worthy goodbye to not only some actors, but a complete sage."
85,dasa108,3,I wish Thanos had killed the producers of this movie,"It is a tiring movie. That is not a good sign. It took me two days to see it and not even the good stuff (with 45 minutes to go) saves the film from catastrophe. Let's start with the obvious: history doesn't hook. The decadence of some heroes (bad Thor and worse Hulk who looks like the green version of Beast from the XMEN), the tendency to be sentimental killing some characters, showing a powerful villain but with little intuition to handle situations where he has all the to win, to show a key character for his power who appears only at the end to show that even a superhero does not care about the shedding of innocent blood ... The directors were not more talented in handling a story that would have been more digestible if instead of an agonizingly long movie it had been made in two parts. There are two moments where the movie is saved: one is when Robert Downey Jr. Meets his father, the other is when Tom Holland shows a Spiderboy with sensitivity and stupidity. Nothing to rescue from the rest except the wink to the fans of Community (also of the Russo brothers) since they placed one of the leading actresses of that show. It is a movie that falls into the category of ""impossible to watch twice"". If Thanos were real, the first thing he should do is evaporate those in charge of Marvel and Disney for giving us this ordeal in the form of a pretentious and worthless film."
86,elliotte2,3,Adults with adult brains should take a pass,"This movie was bad for anyone who is not a paid Disney reviewer, a teenager or an adult who hasn't grown out of their teenage fanboy stage. There are too many scenes of unfunny one-liners right in the middle of people dying that it is a slough to sit through. The powers that people can do either changes or are forgotten between scenes. Even the action is so spread out with most of the movie being geeky time-travel talk. When the action does appear, it is edited so hard it makes it difficult to know (or care) what happens.

If you just looking for a popcorn non-thinking, background while I do dishes movie, maybe this works. Any adult with an adult brain that likes movies to make sense of have some semblance of logic....pass."
87,Maleplatypus,3,Just Too Much,"Mild spoilers ahead: This movie could lose some 60 minutes and nobody would notice (or probably will - it would be more fun). Some great acting wasted. Exponential comic absurdity mixed with cheap philosophy. SFX could be much better for such an epic attempt. Weepy ending with forced pathos ruins everything. I was truly glad when it finally was over. 3 stars for wrapping this up, hopefully for good."
88,skrstenansky,3,Bad,"This movie is just very overrated and bad. The visuals and effects were amazing, but the story was dumb and boring, half the characters were cringy and stupid, and it was just mostly talking for 2 hours 30 minutes, I had to speed up the movie 2x I was so bored and still understand what they were saying because they were talking so slow. This movie is like infinity war but the heroes make a ridiculous comeback and defeat thanos which is a way more boring and unoriginal ending. Worse than infinity war and not a good movie 3/10."
89,krzysiektom,3,"A moronic ending, fit for a moronic universe...","I give it 3 stars for the huge effort, special effects and good acting. Overall it is a stupid film, bloated with self-importance and sentimentality, with poor pacing. Action scenes did not quite land with me, you know, superheroes throwing and punching stuff, who cares."
90,tim-31315,3,What Hype...,"... and what let down! Slow to develop and fast and furious action in the end. The whole story line was awful and the ending pretty much may have been the ""endgame"" for me, in watching it any further. You may have to watch it to understand the future development - with new heros and old ones gone - but this has now become more of a ""transformer"" type kid series. So bye, bye for me."
91,Behnam-A,3,"An average movie, worth watching but not more","Story and the plot are the foundation of any movie and this film isn'tr very well in that matter. of course much superhero movies are like that however.

It is obvious that we can expect things that are not rational compare to real world in sci-fi or fantasy movies so we measure them in compare to their own introduced logic. we accept some basic unnatural things and then we follow the new rules. Based on the rules the marvel universe has introduced us previously, End Game has too many holes. characters suddenly get very stronger than what they were seconds before or in compare to their history with no reason. Time traveling bugs like in all other time traveling movies present here as well. this happens also to emotional relationships between them. movie has too many cliche scenes with boring dialogs.

when we compare this one to Infinity war, it is a huge disappointment. However, it is still worth watching and if you are a fan of Sci-fi, it entertains you. It is just an average superhero movie."
92,yaornw,3,Overhyped,"The first 30 minutes were almost all talk, so boring. They finally got to some action and humor but with too many characters to keep track of and an over the top storyline in ridiculousness, it was still just not that engaging, not to mention way too damn long. The first Avengers movie rocked. Every one since has been a disappointment unfortunately. Marvel and Disney need to recognize less is more still applies as a storytelling principle of great value."
93,xmike-25541,3,DOWNGRADE after very good Infinity War,"Dont get me wrong, i know 99% of the reviews are from marvel/avengers fans but hey im not blame you all youre are blind and marketing from producers swept you down. Let me see - opening was perfect but suddenly half of the movie is boring, cheaply dark, second part of the movie is too chaotic. Movie trashes other truly legendary films about their non logical sory but here is seemingly everything logical ? LOL ... I could name like 6 very stupid/ilogical/boring things but hey, whats the point. Im just glad all the avengers nonsense ended. I liked Infinity War for its adult-ish story, dark/serious tone, nice and attractive story but here producers knew that EVERYTHING goes and NOTHING will be criticised from die hard fans.. Even if the movie was bad in 50% of the avengers fan, still everybody from you would love it.. Producers have the luck that this franchise is very very solid in terms of acceptance.. For neutral fan like me ? theres HUGE gap between Infinity War and Endgame."
94,nickyb-79131,3,Lol,"Watched to see why so much hype. Audiences hear the hype and lose their minds. So dull. Downey is as always, or at least used to be, enigmatic. The idiocy of the script made me realise the viewers that like this drivel like nothing more than cult like worship of actors names, fictional characters and nothing else. Last one was good but this one was lamer than the new Hulk. Absolutely nothing to gain from watching this Disney reprise to a soy latte drinking generation. GOTG 1 or 2 was at least funny but this was just plain dull scenes welded together like a very expensive TV series. Petty in every way except the budget."
95,sharpjohn,3,Make the pain stop.,"I always like to watch a movie on the off chance it may be enjoyable. In the case of movie series the chance you may get a bad one you need to watch the next to see if it makes up for the bad one. This series has just got worse as it went on and this is just as disappointing, It was that bad i feel asleep watching it.,"
96,Humphreywashere,3,Way way overated! Boring and ordinary. Its popularity is inexplicable,"I read the user reviews before I saw this movie. I thought perhaps the negative reviews were a bit unfair. But no! The cinema was filled to the max- I have never seen this before! Today's paper reported it is the highest grossing movie in history! Why? The audience were enraptured, laughing at seemingly unfunny moments, and cheering when good guy characters emerged. I think everyone drank the kool aid! Most of the movie is ordinary and just like other Avenger movies. Special effects were used to insert characters in cameo roles. Nothing new here folks! I have tried to analyze its popularity and have concluded that it is really simple to please the masses. People dont want complex scifi, a simple good- bad guy formula with a touch of routine comedy, good looking actors made more attractive with special effects touch ups, and some character familiarity will do the trick. Throw in a lot of multicultural references and political correctness and voila! Big bucks."
97,lancelong777,3,Just another superhero movie,"SO many reasons to love this movies but so many more to just completely hate it. I mean, how many times can you just do whatever you like in a movie and have to explain it in the movie that it is okay because of this reason. What a joke. Also, the movie felt like a mixture of ten percent of ten different movies mixed into one and was just not fun to try to follow. In fact, after the most boring first hour in moviedom history, the movie just started to do stuff that felt like it was filmed before the story was even written or a script in hand. And please dont get me started on the Hulk, I wont spoil anything but will say that it was not a pleasure watching him become the weakest Avenger. This movie should have been cut down to about two hours - it would have still blown chunks but at least it wouldnt have been a sleepy third hour. The movie makes me wish that movies offered satisfaction guarantees and returns. I wouldnt have returned any of the snacks but I would have asked for my ticket money back. It stank. And finally, the biggest let down was the acting - these people get paid loads of money and their acting is stilted and boring. Well, enough - I must be wrong as it is making so much money. Sorry, don't see it."
98,ishaalramroop,3,"So so boring,","After all the hype on social media about endgame I would assume I'd enjoy an action packed title but I swear I literally fell asleep halfway into it, (not even joking, I had to watch the other half when I woke up) infinity war was wayy better, more action less drama, hard emotion etc the works, but hey I'm not a fan of superhero movies."
99,Growfeather,3,Not for kids,I had higher expectation from this movie but it turned out to be superheroes drama/comedy mixed with little action. There was very little action in the movie compare to past Avengers. 3d effects were not up to mark either. I was fairly disappointed by this one. If drama is your genre then go for it but if you like action then skip it.
100,declanleader,3,Just rubbish,"Three hours wasted, was about as good as declawing my dog and at least I like the dog. The storyline was terrible, and for many blatantly obvious reasons made no senses, to make matters worse it seemed to have more holes in it, than my old gym socks. Yes I know all the good guys weren't going to make it, everyone knew that, I actually hoped a few wouldn't make it, and that's not what I care about, this movie was rubbish it labored three hours to get to the point of dead good guys/bad guys then victory and bang happy ever after for two minutes then over. This is going straight in the never watch again list, unless trapped on a plane in which case fingers crossed for a parachute, but will jump without one."
101,matthewleighton,3,Pretty bad!!,"Went into this very excited, came out very disappointed. The worst avengers film, possibly the worst marvel film. It was incredibly boring the only reason I'm giving it a 3/10 is the battle scene that was the only entertaining part of the film. I don't get all the hype around this film. The visual effects are amazing (just like all marvel films). It tries to be emotional, but it's very predictable and it failed to do that for me. 3/10 very overrated."
102,venitianfun,3,Tedious,"I have thoroughly enjoyed the Marvel franchise over the past 13 or so years. I liked some movies better than others of course but still can't think of one I didn't watch at least twice. Endgame disappointed me. It was long, and boring. The time travel aspect was not at all believable, funny thing to say I know considering this is a movie about superheros but that's my take. Finally, the epic battle at the end had been done before much better in Ultron. Time to put this baby to bed. It had a good run though."
103,deloudelouvain,5,Disappointing for an Avengers movie.,"What a contrast with Avengers: Infinity War. I really enjoyed that one but this one just felt short in every aspect. First of all it was way too long, they could have written this story in half of the time. Three hours is already long for an interesting movie, so you can imagine how painful it gets when it's not that interesting. If I have to be honest I fell asleep a couple of times towards the end, that's how captivating this story was. Maybe one day I will watch it again to see if I missed anything but I have my doubts that I will do that. Not all actors are great actors, but that we already knew from this cast. This kind of movies has to have it from the action scenes and special effects, which this movie just lacked. I think this time we can call it a day and move on to something else. Bye bye avengers!"
104,jacobjohntaylor1,5,Okay I guess,This is a good movie. But it could have been better. It has great acting. It also has a good story line. It is not a great story line mind you. The Avengers age of Ultron is mush better.
105,kz917-1,5,Not so super...,"Ugh. This three hour opus did not need to be three hours.

Sure, it had moments. I love you 3000 being a stellar one. America's ass being another.

But mostly ick. Still I watched it as I have been a fan of the rest. Glad I waited for it to come out on dvd."
106,skay_baltimore,5,Average at best,"There are three movie tropes that have been played out to death: 1. It was all a dream. 2. Child/parent or man/woman switching bodies. 3. Time travel. Endgame cops out via door #3. It also got way too cute with Hulk's character, and way too emotional with Ironman/Tony Stark's character. The film felt like the writers/producers were either on speed or had ADHD or both. Key characters simply appeared, with no development whatsoever, most notably Captain Marvel. The net result was more like those things they have at carnivals called ""Spin Art"", where you just squeeze paint onto a spinning card, rather than real art."
107,dk777,5,Avengers: Endgame,"A disappointing end to an era of movies that started very well only to get worse over time. There are a few that are worth looking at as pure entertainment, and some make no sense to watch. Some parts are good and interesting, but the film is unfortunately mostly disappointing, from the whining Thor who is absolutely unbearable in this film, to the Hulk who was turned into a crappy creature from some sitcom. There was really no need for that. Parts of the film are completely unnecessary and pointless and they degrade the overall impression of the film. The special effects are of course good, yet this is a high-budget film, but that's just not enough. Too bad, this could have been a lot more than a mediocre movie with dazzling special effects."
108,mrpicky,5,It's Okay,"Of course it couldnt be as good as Infinity War. And to be fair it could be terrible, wich it isnt. But it is still not great in any way. 1 good joke and just a bunch of revisiting past episodes, thats it. Thats End Game. They sure leaned on tear jerking hard, and it did get me a little with Nebula reaching out. but overall it just shows that going into time travel paradoxes can be funny or stupid. And here it is second one i am afraid. Not a waste of time, but far from Infinity war. They would get so ,much respect if they actually ended it with IW))"
109,marc5477,5,Time travel is when you run out of ideas or cant write worth a darn,"As the title says. You know you have reached a dead end when you introduce time travel to resolve things. It works fine in shows that focus on it like Quantum Leap or Sliders but its usually a sign that you cant write worth a darn if you bring it into something else. That and alternate universes etc. They have been done to death and back and are just a plot device to overcome bad writing.

So anyway, I still gave this a 5 because the CGI and fight scenes were fun. Unfortunately, that is about all there is to say about this movie. It was pretty hollow. The only source of comedy came with the introduction of smart hulk who was just funny conceptually more than anything else. Otherwise, I actually thought that this movie made all the other movies worse because... time travel...

Its a shallow movie. Not worthy of its rating in the least."
110,baehr_adam,5,Cash Grab!!,I'm a lifelong Marvel nerd. I live and breathe Marvel; with that said I'll start my review. The story picks up immediately after Infinity War with Thanos decimating 50% of all life as they try and rectify it. The cast was good though I honestly felt it lacking in conviction besides Tony Stark. The action was lackluster as heck. Endgame is 30 minutes longer then Infinity War and had maybe a fourth of the action runtime that its predecessor had prior. Disappointing battles minus one which lasted all of but a few minutes. The comedy was Endgames only saving salvation to be honest. It pains me to write this because Infinity War was the best superhero movie since sliced bread for a culmination movie. Average at best for me. They should have stopped after Infinity War though I know the comics wouldn't have it. I personally thought it was a cash grab. I'd say watch it once absolutely but don't believe the hype. Endgame makes Age of Ultron look good AF.
111,kpassa,5,Tedious and Boring,After watching Infinity War I was expecting another action-packed blockbuster. Instead it was mostly a snoozefest as they tried to get everything organized for the not-so-grand finale. When it finally did get to the finale it wasn't worth the wait. If you judge it by money made it was a huge success but as a movie it was a big letdown from Infinity War.
112,Tudorpsih,5,"A love letter to the MCU, but a weak movie","From a fans' perspective, this has a lot of rewatchability value, but the plot holes bring down the whole franchise retrospectively. The directors took some creative choices that, for the most part, paid out, but watching this movie after the others in this franchise is a let down. Some heroes act out of character and although I felt the tension in the first couple of acts, the third one really didn't do nothing for me. Infinity War was better constructed, but this had more heart."
113,fingazmc,5,From a non Marvel fan...,"I got forced to watch the midnight release of this with infinity wars on before it and I fell asleep.

So I finally gave it another go, now I know why I fell asleep. For a non marvel fan (I love guardians and deadpool, that's about it) it really isnt very good except for the SFX (obviously) and the end battle is amazing I have to admit. But that's about it, btw I really enjoyed infinity war, so I was open to it, but besides A funny Thor bits there really isnt much."
114,nikhil_mi2,5,It is a really bad movie,"All through this movie it just feels like they are setting up an homage to the past marvel movies and characters, this in itself is not a bad ploy but the way it is executed is lame. They do not even try to make it interesting. And the whole movies drags along this way like it is entering some kind of depression. The Quantum time travel idea is extremely badly executed. it seems the idea was just an excuse to visit past movies and characters. In addition the characters are lame, they just don't have any mojo about themselves. It just feels like they knew it was the end and everybody appears bored or not interested. The last fight is pathetic. Again no excitement at all. And the heroes that died felt like they had to die just for the sake of it. Pathetic movie, even by Marvel standards."
115,sugardaddy-31900,5,Garbage and very disappointing,"I'm so disappointed in this film as it was the End! I waited months, maybe even a year for this to come out. I didn't watch any trailers or listen to any critics because I wanted this experience to be epic. It was boring, dull, flat and uninspiring. The messed with a few characters and in my opinion, ruined them. The fight scenes weren't the best and it did smack of SJW at times. Captain Marvel played a very small role in this, which I'm glad about, and somehow still managed to look like the hero. I'm a huge fan of the MCU which is why I'm extra disappointed. I can't figure out why this has such a high rating...or can't i"
116,lilfresh1992,5,"First Review, 2nd Underwhelming marvel movie","After the disappointing ""age of ultron"", infinity war was a breath of fresh air. Endgame,however, feels like a rush job, playing on the cliche time travel trope. The writers for endgame were better off letting Thanos keep the stones and having the avengers deal with their losses for the first half of the movie. I would of love to see thanos get to utilize the different stones and their abilities, instead of having the movie turn into ""battle for the snap"". The cliche girl power moment towards the end of the film was also cringe, you already did that in infinity war so it doesn't have that same impact this time around. Also the confusion, if there are 3 different tesseract's for the sake of plot, does that mean there are three different thanos? does the snap only defeat that timelines thanos or does he still exist in other timelines? The movie had it's moments, but i didn't leave feeling excited about it like infinity war, and once again the black order is useless, but whatever i'll still show up for avengers 5."
117,jjeliazkoff,5,Underwhelming,"A lot in Endgame was great but there were more than a few sub-par moments. There were numerous plotholes, including in relation to the major plot in the middle of the movie, they ruined several of the characters, and the final resolution was lame. And yes, there are about a dozen undeserved ""woke"" moments..."
118,JAS0NTURNER,5,Review Bots to the Rescue!,I like movies. I like big Georgia blockbusters. But as a human with an opinion and an account I feel I must help other humans in the right direction. And that direction is: Watch this movie in fast forward until you see something interesting. This way you'll be able to enjoy it and not waste 3 full hours. As for the bots who gave this a 10...I hope your internet is forever slow.
119,heorgehaywood,5,Average,The hype for this movie is way way too much. The movie is about as average as it gets its generic and churned out and lacks any real quality. No spoilers but they write them self into a corner go back in time and save the world from monsters. Granted the CGI is done extremely well and the cast is incredible but the writing is generic and is overall disappointing but that's just me.
120,llamaslothinc,5,Bad Writing,"Just a lack of any worthwhile creativity is evident all over this film. The writing is trash, infused with stereotypical Marvel humor and even more annoying attempts at trying to drum up tears. The only thing that makes this film worth watching in any way is the acting in some key moments by some of the outrageously paid all-star cast, specifically the performances by Downey Jr and Johansson. I think both of them did particularly well, and I wish the latter was more prominent. Besides that though, there are about 14,000,605 outcomes where this movie is made, and all but one are laced with egregious plot holes and devices. We didn't get that one."
121,hamedavodi,5,Ending was awful!,"By far, the worst Avenger movie among four, particulary for retiring certain key characters. In such drama, it make sense that someone should be making an ultimate sacrifice, which in this case Iron Man was the best candidate. But Natasha not being able to come after the snap by Hulk and/or worse, Captain America going back to live with her old love after carrying her coffin was quite awful!"
